,rating,id,date,views,like,title,text
1162,5.0,8402j***예매자,2021.12.27,조회 2,"공감 0
공감하기",재밌어요,많이 웃고 울고 참 좋은 극이예요
1163,5.0,tjwls***예매자,2021.12.27,조회 3,"공감 0
공감하기",기승전결이 완벽한 뮤지컬,다음에 올 때는 2달 3달 이렇게 길게 왔으면 좋겠어요
1164,5.0,ju9***예매자,2021.12.27,조회 2,"공감 0
공감하기",쿠로이,안녕 내가 될 일 이야
1165,5.0,light0***예매자,2021.12.27,조회 2,"공감 0
공감하기",최고의 뮤지컬,완전 강추합니다 배우님들 연기는 말해 뭐 해 노래까지 짱 연말 뮤자컬 류 추천합니당
1166,5.0,dbwls9***예매자,2021.12.27,조회 2,"공감 0
공감하기",쿠로이,쿠로이 덕분에 많이 웃고 행복한 크리스마스를 보냈어요
1167,5.0,gdq0***예매자,2021.12.27,조회 2,"공감 0
공감하기",넘 좋았습니다,넘 좋았습니다
1168,5.0,ssol0***예매자,2021.12.27,조회 2,"공감 0
공감하기",쿠로이,쿠로이 재밌 다웃기고 울리고 재밌 다쿠로이 많이 보러 오세요
1169,5.0,romio***예매자,2021.12.27,조회 2,"공감 0
공감하기",최고,너무 유쾌한
1170,5.0,oys0***예매자,2021.12.27,조회 2,"공감 0
공감하기",쿠로이,너무 재밌어 여진짜 최미 누왤케 잘하죠 진짜 너무 귀엽 다른 배우님들 모두 진짜 다 너무 잘하십니다
1171,5.0,khmin0***예매자,2021.12.27,조회 2,"공감 0
공감하기",클스마스,클스마스에 보기 좋아요
1172,5.0,tina***예매자,2021.12.27,조회 2,"공감 0
공감하기",최고,진짜 크리스마스 날 박박 웃고 나왔습니다 그냥 다 좋고 따뜻한 공연이에요 사랑해요 쿠로이 128420
1173,5.0,wpsl1***예매자,2021.12.27,조회 7,"공감 0
공감하기",너무 재밌네 요 극장은 별로고,이렇게 답답한 극장은 또 처음이에 요무대 앞쪽에 설치한 조명기가 무대를 가리는 건 좀 이해가 안 가네요 진짜화 날 뻔했는데 배우들 연기는 너무 좋았습니다
1174,5.0,snowdrea***예매자,2021.12.27,조회 3,"공감 0
공감하기",쿠로이,크리스마스의 완벽한 선물 127873
1175,5.0,lhk080***예매자,2021.12.27,조회 2,"공감 0
공감하기",볼수록 힐링되는 극,너무 너무 재미있게 봤어요 얼마 안 남았다는 게 넘아 쉽네요
