,Rating,Id,Date,views,like,Title,Text
2237,5,jh950***예매자,2020.08.10,조회 14,공감 1공감하기,앞으로가 더 기대돼요,앞으로도 더 기대하겠습니다
2238,5,nasky9***예매자,2020.08.10,조회 17,공감 1공감하기,뮤지컬 매니아라면 더 더 웃깁니다,내한 공연은 보지 못했는데 당시에도 반응이 좋아 초연 첫공 보고 왔습니다여러 뮤지컬들의 대사나 멜로디가 극중에 등장해서 뮤지컬 매니아라면 더 웃길 것 같아요아직 떼창은 잘 안들리지만 번역이 아주 잘되어서 웃음포인트도 잘 살린 것 같습니다
2239,3,skyki***예매자,2020.08.10,조회 39,공감 1공감하기,썸씽로튼,뮤지컬 썸씽로튼 또 보고싶어요
2240,5,thskiml***예매자,2020.08.10,조회 18,공감 0공감하기,웰컴투더르네상스,너무 싫어 셰익스피어
2241,5,ro***예매자,2020.08.10,조회 19,공감 1공감하기,윌어,너무조아너무조아
2242,4,skyki***예매자,2020.08.10,조회 24,공감 1공감하기,썸씽로튼,뮤지컬 썸씽로튼 재미있어요
2243,5,choco***예매자,2020.08.10,조회 17,공감 0공감하기,잘봤습니다,첫공연인데도 생각보다 만족스럽게 잘 봤습니다 조금 지루한 면도 있지만 전반적으로 행복해지는 극이네요
2244,5,sil***예매자,2020.08.10,조회 17,공감 1공감하기,뮤 우지컬,재밌고 유쾌하고 신났습니다
2245,5,cpfl***예매자,2020.08.10,조회 17,공감 1공감하기,유쾌하고 즐거운 극라이브 후기,눈과 귀가 호강하는 극이었어요오랜만에 즐거운 관람하고 왔습니다
2246,5,skygirl***예매자,2020.08.10,조회 20,공감 1공감하기,배우님들 어쩜 연기와 노래를 찰떡같이 하세요라이브 후기,반했버렷어요
2247,5,dprhf***예매자,2020.08.10,조회 18,공감 1공감하기,위잉이이이이일파워라이브 후기,난 이제 윌 너의 윌이야
2248,5,chiefn***예매자,2020.08.10,조회 21,공감 1공감하기,64년생월드스타라이브 후기,아미친
2249,4,jsy***예매자,2020.08.10,조회 19,공감 1공감하기,유쾌해요라이브 후기,비타민 폭탄
2250,5,ferix1***예매자,2020.08.10,조회 20,공감 1공감하기,진짜 자밌었어요,대극장 라이센스 극을 즐겨보는 사람이라면 두배 더 즐거울 수 있는 극서경수 배우의 매력이 
