,index,Rating,Id,Date,views,like,Title,Text
107,107,5,robbi***예매자,2020.08.24,조회 11,"공감 0
공감하기",말해뭐해요 최고죠,4번째 렌트 관람렌트는 제 인생작이 되었습니다
108,108,1,myo***예매자,2020.08.24,조회 32,"공감 0
공감하기",여기 관객통제가 안되는 곳이에요,관객들 소리지르지 말라는데도 계속 소리지르고 배우 연기하는 장면에서 스포하는 미친 사람도 있는데다 마스크 제대로 안 쓴 사람도 꽤 있었어요 다른 극장들 마스크 코까지 다 덮어서 쓰라고 싹 돌아다니며 주의주는데 여긴 그런 것도 없어요 그냥 마스크 쓰라고 대충 돌아다니며 끝 옆자리 마스크 제대로 안 쓴 사람한테 얘기했더니 적반하장으로 따자고 들고 이런 시국에 제대로 지시 내리고 관객 관리하는 거 못할거면 공연 어떻게 올리나 싶어요 너무 불쾌해서 1막 끝나고 나왔어요 어셔들 일 좀 똑바로 시키세요
109,109,5,yoojin0***예매자,2020.08.24,조회 10,"공감 0
공감하기",최고!!,경아모린 최고
110,110,5,yuj***예매자,2020.08.24,조회 8,"공감 0
공감하기",최고,진짜 말이필요없어요
111,111,5,yuj***예매자,2020.08.24,조회 12,"공감 0
공감하기",최고!!,조기종연 왜했어요
112,112,5,yuj***예매자,2020.08.24,조회 11,"공감 0
공감하기",최고,최고였어요
113,113,5,moy***예매자,2020.08.24,조회 9,"공감 0
공감하기",렌트,아름다운 공연이에요
114,114,5,yulysi***예매자,2020.08.24,조회 12,"공감 0
공감하기",렌트 너무너무 재밌어요ㅠㅠㅠㅠ,배우님들 어떻게 이렇게 다 잘하는 분들만 모아놓으신 건지너무 늦게 본 게 아쉬워요 6월에 보고 회전 돌았어야 했는데
115,115,5,dasol0***예매자,2020.08.24,조회 16,"공감 0
공감하기",오십이만오천육백분의 귀한시간들,오십이만오천육백분의 귀한시간들어떻게 재요 일년의 시간제일 처음   를 알게된건고등학교 합창부 활동을 통해서 였어요막연히 노래 좋다라고만 생각했었는데시간이 흘러 이 노래를 졸업식 노래로 부를 때정말 1년의 시간이 주마등처럼 스쳐지나가더라구요이 한곡의 노래로 뮤지컬 렌트에 관심을 가지게 되었어요기억 속에서 잊혀져 가던 중에취업으로 상경한지 얼마 안되었을 때쯤지하철 역을 지나가는데 렌트 포스터가 붙어 있더라구요집에 도착하자마자 바로 예약을 하고 들뜬 맘으로관극을 기다렸어요극장에서 듣는   는 정말 최고였습니다요즘 코로나로 많은 연극들이 취소되고 있어 그런지렌트가 전하는     오직 오늘뿐이라는메세지가 더 와닿네요
116,116,5,alph***,2020.08.24,조회 14,"공감 0
공감하기",막공 취소 안타까워요,코로나 사태가 빨리 종식되고 맘놓고 응원하면서 뮤지컬 보던 그때로 돌아가고 싶네요 배우분들 힘내세요
117,117,5,lookatm***예매자,2020.08.24,조회 10,"공감 0
공감하기",잘봤습니다,현실의 우리도 바이러스와 싸우고 있어요지금같은 현실이 아니었다면한번이라도 더 봤을텐데 아쉽고 아쉬워요앙상블 한명한명까지 캐스트가 뛰어났고 이었고모든 등장인물들이 사랑스러웠어요꼭 다시 돌아와주세요
118,118,5,neo2***예매자,2020.08.24,조회 11,"공감 0
공감하기",최고!!,최고의 공연입니다
119,119,5,killi***예매자,2020.08.24,조회 11,"공감 0
공감하기",안녕 잘가,끝났어 렌트
120,120,5,ttoon***예매자,2020.08.24,조회 11,"공감 0
공감하기",안녕 렌트,이렇게 갑작스레 헤어지게 되다니 마음이 안좋네요
121,121,5,ib***예매자,2020.08.24,조회 9,"공감 0
공감하기",사랑해요 렌트,
122,122,5,ib***예매자,2020.08.24,조회 9,"공감 0
공감하기",렌트 다시 꼭ㅜㅜㅜ,꼭 다시
123,123,5,ib***예매자,2020.08.24,조회 7,"공감 0
공감하기",사랑했어요 렌트ㅜㅜㅜ,사랑했어요꼭 다시 와요 다음엔 크리스마스에
124,124,5,iter***예매자,2020.08.24,조회 8,"공감 0
공감하기",다시 오길!!!,
125,125,5,hiroki***,2020.08.24,조회 6,"공감 0
공감하기",ㅠㅠ,돌려줘요 내 총막 
126,126,5,hiroki***예매자,2020.08.24,조회 8,"공감 0
공감하기",ㅠㅠ,뉴스에 제보한 사람 늘 고통받으시길
127,127,5,youc***예매자,2020.08.24,조회 6,"공감 0
공감하기",ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ,
128,128,5,youc***예매자,2020.08.24,조회 6,"공감 0
공감하기",ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ,
129,129,4,taijid***,2020.08.24,조회 16,"공감 0
공감하기",고생 많으셨습니다!,취소된 공연인데 어떤 절차들이 좀 덜 진행된 건지 관람했다고 나오네요그동안 <렌트>를 위해서 힘써주신 모든 관계자분들 고생하셨다고 말씀드리고 싶어요얼른 좋은 날 오기를
130,130,3,taijid***예매자,2020.08.24,조회 19,"공감 0
공감하기",어려운 상황에서 어렵게 올라간 공연...!,<렌트> 내용을 차치하고 이런 상황에서도 끝까지 무대를 놓지 않은 관계자분들 모두 감사합니다자기애와 인류애 모두를 품으려는 대서사시를 이해하기엔 제가 통찰력과 인생 경험이 부족한 것일수도 있겠지만 쬐금 버거웠어요;;
131,131,5,jihyang***예매자,2020.08.24,조회 5,"공감 0
공감하기",렌트,이렇게 힘든 시기에도 고생 많으셨습니다 기억에 오래 남을 것 같아요
132,132,5,sonasu0***예매자,2020.08.24,조회 7,"공감 0
공감하기",진~찐이었던 공연입니다,오랜 작품이고 이야기는 오래되었지만 관통하는 메세지가 큰 공연이에요넘버 진짜 좋고 배우들 최고였습니다
133,133,5,aish***,2020.08.24,조회 6,"공감 0
공감하기",렌트는 사랑입니다.,배우님들 너무너무 감사합니다
134,134,5,aish***,2020.08.24,조회 5,"공감 0
공감하기",렌트는 사랑입니다.,다시 돌아와요진심 이렇게 허무하게 보낼순 없어요
135,135,5,sonasu0***,2020.08.24,조회 7,"공감 0
공감하기",너무 기다려왔던 공연이었는데,계속 기다려왔던 공연이었는데 너무 아쉽습니다
136,136,4,helen***예매자,2020.08.24,조회 4,"공감 0
공감하기",귀한 시간들,오랜만에 올려진 공연이니만큼 너무 소중했던 시간들
137,137,5,aj9***,2020.08.24,조회 7,"공감 0
공감하기",마지막까지 렌트스러웠다,슬펐지만 렌트스러운 마지막이였다
138,138,5,aj9***,2020.08.24,조회 4,"공감 0
공감하기",가지마,가지마요
139,139,5,khj1***예매자,2020.08.24,조회 4,"공감 0
공감하기",뮤지컬 렌트,막공은 끝났지만 잊을 수 없는 렌트크리스마스때 꼭 다시 앵콜 보고 싶습니다
140,140,5,920hyun***,2020.08.24,조회 3,"공감 0
공감하기",렌트,가지마
141,141,5,a***예매자,2020.08.24,조회 3,"공감 0
공감하기",재밌었어요,재밌었어요
143,143,5,ahaha7***예매자,2020.08.24,조회 6,"공감 0
공감하기",시대를 지나도 변하지 않는,사랑 너무너무 좋은 극이에요 꼭 다시 왔으면 좋겠어요배우들 최고
144,144,5,ahaha7***예매자,2020.08.24,조회 6,"공감 0
공감하기",세상 모든건 다,빌려쓰는거니까 너무너무 재밌는 최고의 공연이었어요 꼭 다시 와주길
145,145,5,ahaha7***예매자,2020.08.24,조회 6,"공감 0
공감하기",정원영마크,연기 노래 최고에 분위기메이커렌트 배우분들 정말 최고에요
146,146,5,ahaha7***예매자,2020.08.24,조회 6,"공감 0
공감하기",No day but today,요즘같은 코로나 시국에 특히 더 와닿는 메시지네요멋진 공연이었어요
147,147,5,tatia***,2020.08.24,조회 3,"공감 0
공감하기",다시,코로나 상황으로 많이 못 본 것이 아쉽습니다 특히 막공 취소는 슬프네요 꼭 다시 올라오기를 바랍니다
148,148,5,ahaha7***예매자,2020.08.24,조회 4,"공감 0
공감하기",렌트는 최고에요!,오늘을 사랑하자 정말 멋진 주제에 멋진 배우들
149,149,4,zhaox***예매자,2020.08.24,조회 4,"공감 0
공감하기",또 다시 보고픈 작품,렌트가 갔네요충분히 보지 못해 아쉬움이 남습니다 20일 공연 너무 좋았는데그게 마지막이 될지 몰랐어요 배우들 스탭들 모두 수고 많았고첨에는 낡은 극이라고 생각했는데보면 볼수록 속에 담긴 메세지가 가슴을 크게 울렸습니다
150,150,5,l1***예매자,2020.08.24,조회 5,"공감 0
공감하기",총막이 사라져서 아쉬워요 ㅠㅠ,총막이 사라져서 너무 아쉽습니다
151,151,5,soons***,2020.08.24,조회 5,"공감 0
공감하기",렌트 사랑해요!,2020년에 본 뮤지컬 중 감히 최고라고 자부해요배우들의 에너지중독성 강한 음악확고한 메세지가 합쳐져최고의 공연이 되었습니다하루 먼저 폐막하게 되어서배우들이나 팬들이나 상심이 컸지만다음에 꼭 다시 만나길 바래요노데이벗투데이 렌트
152,152,5,redn***,2020.08.24,조회 5,"공감 0
공감하기",총막렌트,어찌 이런일이 생겨서 막공을 그냥 보내야되는 슬픈 상황이배우분들 모두 고생 많으셨어요
