,index,Rating,Id,Date,views,like,Title,Text
85,85,5,131mi***예매자,2020.10.29,조회 9,"공감 0
공감하기",사랑해요,제발 재연 와주세요 모든 배우님들 고생 많으셨습니다 
86,86,5,hwscj***예매자,2020.10.28,조회 3,"공감 0
공감하기",재연을 기다리며,전염병 사태가 진정되어 하루 빨리 재연이 올라오기를 기다려 봅니다
87,87,5,opal***예매자,2020.10.28,조회 4,"공감 0
공감하기",재미있어요,재미있어요
89,89,5,joon8***예매자,2020.10.28,조회 4,"공감 0
공감하기",꿀잼,너무 재밌었습니다 임규형 배우님 귀여웠어요
90,90,5,tmzkdl0***예매자,2020.10.28,조회 6,"공감 0
공감하기",웰컴 투 더 르네상스~,기대 안하고 봤는데 세상에 넘버 왜이리 좋은가요받은  아직까지 계속 듣고있습니다흑사병 노래도 있었으면 좋았을텐데 조금 아쉽지만 다음에 올 때 만날 수 있겠죠
91,91,5,hoiw***예매자,2020.10.28,조회 4,"공감 0
공감하기",재밌어요.,재밌어요
92,92,5,ly***예매자,2020.10.28,조회 4,"공감 0
공감하기",썸씽로튼,웰컴투 르네상스자꾸 흥얼거리게 되네요 넘 재밌었어요
93,93,5,ly***예매자,2020.10.28,조회 5,"공감 0
공감하기",썸씽로튼,공연 보는 내내 재미었어요다시 보고 싶은 공연이에요
94,94,5,baik9***예매자,2020.10.27,조회 6,"공감 0
공감하기",즐거운 뮤우지컬,재연 빨리 왔으면 좋겠어요 아주 즐거운 뮤우지컬 이에요
95,95,4,faith***예매자,2020.10.27,조회 8,"공감 0
공감하기",마지막 주 선물,미니  주셔서 고맙습니다
96,96,4,faith***예매자,2020.10.27,조회 8,"공감 0
공감하기",재밌어요,좋은 시절에 다시 왔으면 좋겠어요
97,97,5,wkdtpals5***예매자,2020.10.27,조회 6,"공감 0
공감하기",행복했습니다,앙상블 최고
98,98,5,moy***예매자,2020.10.27,조회 7,"공감 0
공감하기",즐거웠어요오오믈렛,유쾌한 뮤지컬이었어요 다른 캐슷으로도 보고싶네요
99,99,4,fiance***예매자,2020.10.26,조회 5,"공감 0
공감하기",재미있었어요,킬링타임용으로 좋은 공연이었어요
100,100,5,hyunyi1***예매자,2020.10.26,조회 7,"공감 0
공감하기",흥겨운 뮤지컬,넘버도 좋구 재미있어요
101,101,5,mir0***예매자,2020.10.26,조회 4,"공감 0
공감하기",꼭 다시 만나요ㅠㅠㅠ,흥겹고 유쾌하고 따뜻한 극이었습니다
102,102,5,jiae1***예매자,2020.10.26,조회 4,"공감 0
공감하기",힘들어,찐으로 힘들어 레알열라힘들어
103,103,5,jiae1***예매자,2020.10.26,조회 5,"공감 0
공감하기",서경수 최고,셰익스피어 진짜 잘살린듯
104,104,5,tkawjdt***예매자,2020.10.26,조회 9,"공감 0
공감하기",자꾸만 생각 나는 넘버들,특히 윌파워가 요즘 자꾸 맴도네요 루즈한 부분이 있었지만 부분부분 재밌어서 잘 보고 나왔습니다
105,105,5,gonny***예매자,2020.10.26,조회 6,"공감 0
공감하기",중독성 있는 넘버들로 가득한 쇼 뮤지컬,신나게 박수치고 환호하며 관람하고 싶은 뮤지컬이었어요이후 꼭 다시 돌아오세요
106,106,4,gonny***예매자,2020.10.26,조회 5,"공감 0
공감하기",재밌었어요,중독성 있는 넘버들로 이루어진 신나는 쇼 뮤지컬
107,107,5,sophia2***예매자,2020.10.26,조회 8,"공감 0
공감하기","재연, 앵콜공연이 기다려지는 공연",코로나로 인한 중단기간이 너무 아쉬워요 
108,108,5,opaszx***예매자,2020.10.26,조회 6,"공감 0
공감하기",잘 봤습니다!,내사랑 썸로 언젠가 다시만나 이모습 이대로
109,109,5,tkwls***,2020.10.26,조회 7,"공감 0
공감하기",코로나만 아니었으면,대박일텐데 끝까지 웃겨주셔셔 감사합니다다시 올라올때까지 기다릴께요
110,110,5,rudolf***예매자,2020.10.26,조회 4,"공감 0
공감하기",다시 보고픈 뮤지컬,이렇게 끝나서 너무 아쉽다연장을 기대했지만그래도 이 공연을 함께 할 수 있어 좋았다다시 올라오길
111,111,5,tnfks0***예매자,2020.10.26,조회 5,"공감 0
공감하기",가지마요 썸로ㅠㅠ,너무 오래 쉬어서 별로 보지도 못했는데 연장도 안하고
112,112,5,tnfks0***예매자,2020.10.26,조회 2,"공감 0
공감하기",즐거웠어요!!,닉이 좀 아쉬웠지만 다른 페어는 좋았습니다
113,113,5,tnfks0***예매자,2020.10.26,조회 3,"공감 0
공감하기","경윌,,,,",경윌 이제 없다니 믿을수없어
114,114,5,foryouair***예매자,2020.10.26,조회 4,"공감 0
공감하기",썸로,썸로 얼른 다시 돌아와주세여
115,115,4,revedeeto***예매자,2020.10.26,조회 3,"공감 0
공감하기",좋았습니다,연장 됐으면 좋았을텐데 아쉬워요
116,116,5,sh***예매자,2020.10.26,조회 3,"공감 0
공감하기",연장안해서 아쉽지만 ㅠㅠ,다시 돌아오길 
117,117,5,sh***예매자,2020.10.26,조회 3,"공감 0
공감하기",뮤지컬의 기원에 대해,재밌어요
118,118,5,rize0***예매자,2020.10.26,조회 3,"공감 0
공감하기",강력 추천,강력 추천
119,119,5,ch***예매자,2020.10.26,조회 3,"공감 0
공감하기",기발하고 유쾌합니다,간만에 흥미로운 대극장 극이었습니다
120,120,5,bwq1***예매자,2020.10.26,조회 4,"공감 0
공감하기",준다 끝내!,재연을 기다립니다
121,121,5,kinkikid***예매자,2020.10.26,조회 3,"공감 0
공감하기",꼭 다시보고싶은극,너무 재밌고 신나고 좋았던 극 
125,125,4,sopia***예매자,2020.10.26,조회 3,"공감 0
공감하기",신나는 르네상스,신나고 유쾌한 르네상스 마지막까지 즐거운 공연이었다
126,126,5,WKDDKWK***예매자,2020.10.26,조회 3,"공감 0
공감하기",꼭 마스크 벗고 다시 만났으면 좋겠어요.,닉바텀이 셰익스피어와의 시대를 잘못 만났듯이 함께 즐기기 너무 좋은 이 뮤지컬이 코로나 시대를 잘 못만나 많이 공연을 못한게 많이 아쉽습니다 특히 공연이 중단된 3주간은 너무 힘들었어요 저도 표가 취소되었어서 보고 싶어도 볼 수 없어서 아쉬웠는데 준비한 배우들은 더 많이 아쉬웠을거라 생각합니다 뮤지컬 썸씽로튼을 보면서 다른 뮤지컬도 간접적으로 경럼할 수 있어서 재미있었습니다 소리지르고 같이 즐기고 싶었는데 그걸 못해서 많이 아쉬웠습니다 다음에 마스크 없이 다시 볼 수 있게 된다면 다함께 즐기면서 보고 싶습니다
127,127,5,slrzns2***예매자,2020.10.26,조회 3,"공감 0
공감하기",썸씽로튼,진짜 힘들어 죤낸 힘들어
130,130,5,misosy***예매자,2020.10.26,조회 5,"공감 0
공감하기",썸씽로튼,뮤지컬을 좋아한다면 한 번쯤 꼭 봐야하는 공연당신이 아는 뮤우지컬이 등장하리라
131,131,5,alsl231***예매자,2020.10.26,조회 4,"공감 0
공감하기",.,
132,132,5,xxra***예매자,2020.10.26,조회 3,"공감 0
공감하기",잰밌어요,
134,134,5,yuri***예매자,2020.10.26,조회 3,"공감 0
공감하기",재미있게 관람했습니다,배우들의 열연이 매우 인상적이었고 재미있었습니다 마침 증정 도 운좋게 받았구요 머지않아 곧 다시 무대에 올려지길 바랍니다
