,rating,id,date,views,like,title,text
1477,5,angergir***예매자,2018.11.12,조회 6,"공감 0
공감하기",제발 다시 올려주세요 제발,이런 공연을 저만 볼 수 없어요보다 많은 사람들이 봐야해요제발요 다시 올려주세요기간 길게 해서 부탁드립니다배우님들 최고였고 이런 공연 보게 해주셔서 감사합니다정말 감사합니다
1478,5,danny***예매자,2018.11.12,조회 4,"공감 0
공감하기",앵콜 공연 해주세요,여배우들이 이렇게 자기 역량을 맘껏 보여줄수있는 극이 많지 않은데 더 많은 사람들이 볼수있도록 앵콜해주세요
1479,5,lovestor***예매자,2018.11.12,조회 8,"공감 0
공감하기",최곱니다 최고,이런 배우들이 이런 무대를 하는 작품이 왜 이제야 나왔는지앞으로 더욱 이런 작품이 많아지면 좋겠어요정말 멋지고 최고인 배우와 무대 특히 열정적인 단체 탭 안무 정말 장관이고 전율이였습니다
1480,5,redpi***예매자,2018.11.12,조회 7,"공감 0
공감하기",베르나르다 알바,많은 관객분들이 보셨으면 하는 극입니다근데 좌석수도 적고 기간도 짧아서 아쉬웠어요공연은 이제 막공을 앞두고 있지만기존 배우들의 새로운 재발견이었던 만큼곧 재정비하여 또 다른 배우들과 돌아오길 기다리겠습니다원캐여서 힘든 순간도 많았을텐데 항상 최선을 다해주신 배우님들 사랑하구요 마지막까지 사고없이 마무리하시길 바랍니다
1481,5,stary***예매자,2018.11.12,조회 7,"공감 0
공감하기",옛날 옛적 스페인의 이야기 과연 지금은 어떨까,지금 우리에게 아무런 이야기를 해주지 못할까이건 이미 옛날옛적 일이고지금은 세상이 달라졌을까그런 부분도 있고 아닌 부분도 있지우리는 여전히 결혼하라는 압박에 시달리면서여자는 뭐뭐해야한다는 것에 갇혀서 살지100년도 안 된 이야기인데이렇게나 많이 왔고 이렇게나 여전히 똑같다
1482,5,stary***예매자,2018.11.12,조회 7,"공감 0
공감하기",우리는 이 지옥을 되풀이하지 않을거야,우리는 이 시기를 빠져나왔어우리는 이 지옥을 되풀이하지 않을 거야우리는 모두 문을 부수고 나가는 여자들이 될거다
1483,5,chanhee***예매자,2018.11.12,조회 5,"공감 0
공감하기",다들 한번은 꼭 보셨음하는데,표가 없는게 문제겠죠여성배우들만으로 이렇게 관객을 압도하는 작품들이 많이나왔으면 좋겠단 생각을 했습니다 배우분들 정말 멋있었어요
1484,5,sanga0***예매자,2018.11.12,조회 7,"공감 0
공감하기",여배우가 10명이나 나와서 너무 좋았습니다,여배우가 무려 10명이나 나오는 극을 안 볼 수가 없었어요 게다가 강렬한 플라멩고와 박수 소리 발 구름 소리와 배우들의 열연 덕분에 100분 내내 소름 돋으면서 엄청 몰입해서 볼 수 있었습니다 의상도 너무 예뻤어요 한번만 볼 수 있었던게 너무 아쉬워요 연장이나 앵콜 공연 꼭 올라왔으면 좋겠습니다 그리고 극 내에서 페페를 비롯한 남자들은 모자로 처리되어도 아무런 문제없이 극을 볼 수 있다는게 놀라웠어요 앞으로 여성 서사가 중심이 되어 다양한 여성 캐릭터가 나오는 극들이 더 많아지길 바랍니다
1485,5,reine***예매자,2018.11.12,조회 2,"공감 0
공감하기",베르나르다 알바,이런 극이 앞으로 더 많아지길
1486,5,stary***예매자,2018.11.12,조회 2,"공감 0
공감하기",갓띵작입니다 모두들 보세요,정말 최고야 짜릿해 오픈런이었으면 좋겠다
1487,5,sshk***예매자,2018.11.12,조회 1,"공감 0
공감하기",배우님들,천재만재최고입니다
1488,5,jyoon8***예매자,2018.11.12,조회 2,"공감 0
공감하기",베르나르다알바,
1489,5,jyoon8***예매자,2018.11.12,조회 1,"공감 0
공감하기",베르나르다알바,진짜 최고였어요 또해주세요
1490,5,26775b***예매자,2018.11.12,조회 8,"공감 0
공감하기",너무너무 좋았던 공연,살아숨쉬는 여성캐릭터 지금껏 몇년이나 봐왔던 배우들의 빛나는 재발견 너무너무 행복했던 관극이었습니다
1491,5,yuri***예매자,2018.11.12,조회 1,"공감 0
공감하기",말이 필요없는 최고의 공연,절대 못잊을 것 같아요 정말 좋았습니다최대한 빨리 다시 돌아오기를 바라요
1492,5,arang***예매자,2018.11.12,조회 1,"공감 0
공감하기",좋앗어요,넘넘 좋앗습니다
1493,5,yu***예매자,2018.11.12,조회 1,"공감 0
공감하기",최고,너무 멋지고 소름돋는 공연
1494,5,arang***예매자,2018.11.12,조회 1,"공감 0
공감하기",너무 좋앗습니다,감동적이엇어요배우님들의 에너지가 곽 찬 무대엿습니다
1495,5,yuj***예매자,2018.11.12,조회 1,"공감 0
공감하기",최고의 공연,극의 분위기가 너무 멋있었어요배우분들의 연기와 노래도 너무 좋았습니다
1496,5,porkl***예매자,2018.11.12,조회 1,"공감 0
공감하기",배우님들 너무 좋아요,정말 다 최고세요
1497,5,arte***예매자,2018.11.12,조회 3,"공감 0
공감하기",정말 재밌어여 ,티켓만 더 있어도 볼 텐데 전석 매진이라서 볼 수가 없어요다시 보고 싶어요며칠만 더 했으면 좋겠어요
